EUR,ITA,0
AMR,JAM,3100
WPR,JPN,0
WPR,KOR,0
WPR,LAO,0
EMR,LBN,0
AFR,LBR,2500
EUR,LVA,0
EMR,MAR,0
EUR,MDA,0
AFR,MDG,1500
WPR,MNG,0
AFR,MOZ,46000
AFR,MRT,0
AFR,MUS,0
AFR,NGA,150000
AMR,NIC,0
EUR,NLD,0
EUR,NOR,0
AMR,PAN,2100
AMR,PER,6800
WPR,PHL,0
WPR,PNG,1600
EUR,POL,0
EUR,RUS,0
AFR,RWA,21000
EMR,SDN,6000
AFR,SEN,1400
EUR,SRB,0
EMR,SSD,0
AFR,STP,0
AMR,SUR,0
AFR,TCD,13000
AFR,TGO,8100
SEAR,THA,62000
EUR,TJK,0
AMR,TTO,0
EUR,UKR,9000
AMR,URY,0
AMR,USA,20000
EUR,UZB,0
AFR,ZMB,72000
AFR,ZWE,150000
EMR,AFG,0
AFR,AGO,12000
AFR,BDI,11000
EUR,BEL,0
AFR,BEN,4700
AFR,BFA,11000
AMR,BLZ,0
AMR,BOL,2100
AMR,BRA,12000
AMR,BRB,0
EUR,CHE,0
AMR,CHL,0
WPR,CHN,0
AFR,CIV,43000
AFR,CPV,0
AMR,CRI,0
AMR,CUB,0
EUR,CZE,0
AFR,DZA,0
AMR,ECU,2600
EMR,EGY,0
AFR,ERI,2000
WPR,FJI,0
EUR,FRA,1200
AFR,GAB,2400
EUR,GBR,0
AFR,GNQ,0
EUR,GRC,0
AMR,GTM,2100
AMR,GUY,0
SEAR,IDN,3300
SEAR,IND,0
EUR,IRL,0
EMR,IRN,6400
WPR,JPN,0
EUR,KAZ,0
AFR,KEN,120000
EUR,KGZ,0
WPR,KHM,4800
SEAR,LKA,0
AFR,LSO,22000
EUR,LTU,0
EUR,LUX,0
SEAR,MDV,0
AMR,MEX,6600
AFR,MLI,9900
EUR,MLT,0
AFR,MUS,0
AFR,MWI,75000
WPR,MYS,6000
AFR,NAM,12000
AFR,NER,4300
SEAR,NPL,4200
WPR,NZL,0
EMR,OMN,0
EMR,PAK,1500
EUR,POL,0
SEAR,PRK,0
EUR,PRT,0
AMR,PRY,0
WPR,SGP,0
AFR,SLE,2200
AMR,SLV,0
EMR,SOM,3100
EUR,SVK,0
EUR,SVN,0
EUR,SWE,0
AFR,SWZ,9800
AMR,TTO,0
EMR,TUN,0
EUR,TUR,0
AFR,TZA,130000
AMR,VEN,2700
WPR,VNM,10000
EMR,YEM,1100
AFR,ZAF,390000
AMR,BRB,0
EUR,LTU,0
EMR,TUN,0
EUR,CZE,0
WPR,SGP,0
AMR,SUR,0
EUR,SRB,0
EUR,ARM,0
EUR,GEO,0
EUR,TUR,0
EMR,AFG,0
EUR,DNK,0
AMR,NIC,0
SEAR,BGD,0
EUR,IRL,0
WPR,JPN,0
EMR,DJI,0
EMR,EGY,0
EUR,EST,0
SEAR,MDV,0
EUR,ISL,0
EUR,MLT,0
AFR,COM,0
WPR,FJI,0
EUR,SVK,0
SEAR,PRK,0
EUR,RUS,0
EUR,UZB,0
AFR,ZWE,58000
AFR,KEN,62000
WPR,LAO,0
EUR,GRC,0
EUR,TJK,0
AFR,MLI,6600
AMR,PRY,0
AMR,TTO,0
EMR,PAK,4800
AFR,CAF,10000
EUR,ESP,0
EUR,ITA,0
AMR,COL,9700
EMR,SSD,11000
EUR,AUT,0
AMR,PAN,1200
AMR,MEX,4900
EUR,KAZ,1200
WPR,PHL,0
