"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"HIV_0000000006","PUBLISHED","2001","AMR","SLV","<1000 [<500- 1 800]","","","1800",""
"HIV_0000000006","PUBLISHED","2001","EMR","SOM"," 2 800 [1 700- 4 500]","2800","1700","4500",""
"HIV_0000000006","PUBLISHED","2001","EUR","SVK","<100 [<100-<100]","","","",""
"HIV_0000000006","PUBLISHED","2001","EUR","SVN","<100 [<100-<100]","","","",""
"HIV_0000000006","PUBLISHED","2001","EUR","SWE","<100 [<100-<100]","","","",""
"HIV_0000000006","PUBLISHED","2001","AFR","SWZ"," 6 700 [6 000- 7 700]","6700","6000","7700",""
"HIV_0000000006","PUBLISHED","2001","EMR","TUN","<100 [<100-<100]","","","",""
"HIV_0000000006","PUBLISHED","2001","EUR","TUR","<100 [<100-<100]","","","",""
"HIV_0000000006","PUBLISHED","2001","AFR","TZA","130 000 [120 000-140 000]","130000","120000","140000",""
"HIV_0000000006","PUBLISHED","2001","AFR","UGA","100 000 [92 000-110 000]","100000","92000","110000",""
"HIV_0000000006","PUBLISHED","2001","AMR","VEN"," 3 800 [1 500- 9 700]","3800","1500","9700",""
"HIV_0000000006","PUBLISHED","2001","WPR","VNM"," 2 100 [1 600- 2 700]","2100","1600","2700",""
"HIV_0000000006","PUBLISHED","2001","EMR","YEM","<500 [<500-<1000]","","","",""
"HIV_0000000006","PUBLISHED","2001","AFR","ZAF","210 000 [190 000-240 000]","210000","190000","240000",""
"HIV_0000000006","PUBLISHED","2006","AMR","ARG","?","0","","",""
"HIV_0000000006","PUBLISHED","2006","EUR","ARM","<500 [<200- 1 000]","","","1000",""
"HIV_0000000006","PUBLISHED","2006","WPR","AUS","<200 [<200-<200]","","","",""
"HIV_0000000006","PUBLISHED","2006","EUR","AUT","<100 [<100-<100]","","","",""
"HIV_0000000006","PUBLISHED","2006","EUR","AZE","<500 [<500-<1000]","","","",""
"HIV_0000000006","PUBLISHED","2006","SEAR","BGD","<500 [<200-<500]","","","",""
"HIV_0000000006","PUBLISHED","2006","EUR","BGR","<200 [<100-<200]","","","",""
"HIV_0000000006","PUBLISHED","2006","AMR","BHS","<500 [<500-<1000]","","","",""
"HIV_0000000006","PUBLISHED","2006","EUR","BLR","<1000 [<500-<1000]","","","",""
