UNIVERSITY OF MISSOURI SYSTEM,155383.97,NSF
"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE",133180.00,NSF
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,53906.00,NSF
"VANDERBILT UNIVERSITY, THE",400000.00,NSF
GREEN SULFCRETE LLC,149890.00,NSF
OPTIMIZED MARKETS INC.,150000.00,NSF
NATIONAL ACADEMY OF SCIENCES,880926.00,NSF
CLEMSON UNIVERSITY,579673.00,NSF
BIOMASON,149935.00,NSF
COLORADO STATE UNIVERSITY,120803.00,NSF
"TIER 1 PERFORMANCE SOLUTIONS, LLC",149959.00,NSF
BIODRILL TECHNICAL SOLUTIONS LLC,225000.00,NSF
"AETHENA GROUP, LLC, THE",149993.00,NSF
PREDICTIVE TECHNOLOGIES CORPORATION,140745.00,NSF
"SMALTEC INTERNATIONAL, LLC",150000.00,NSF
UNIVERSITY OF MEMPHIS,13000.00,NSF
OLD DOMINION UNIVERSITY RESEARCH FOUNDATION,405687.75,NSF
UNIVERSITY OF SOUTHERN MISSISSIPPI,350000.00,NSF
"BIO-ADHESIVE ALLIANCE, INC",225000.00,NSF
"SOLUTION DEPOSITION SYSTEMS, INC.",225000.00,NSF
TUTORGEN,225000.00,NSF
"SCALE2MARKET, LLC",150000.00,NSF
NORTH CAROLINA STATE UNIVERSITY,110000.00,NSF
"BENSON HILL BIOSYSTEMS, INC.",224170.00,NSF
"CALIFORNIA STATE UNIVERSITY, LONG BEACH RESEARCH FOUNDATION",130000.00,NSF
"ROBOCASTING ENTERPRISES, LLC",150000.00,NSF
UNIVERSITY OF ALABAMA AT BIRMINGHAM,19000.00,NSF
"UNIVERSITY OF CALIFORNIA, SAN DIEGO",400000.00,NSF
ADVANCED MEDICAL ELECTRONICS CORPORATION,224879.00,NSF
CATHOLIC UNIVERSITY OF AMERICA (THE),55000.00,NASA
UNIVERSITY OF ALABAMA IN HUNTSVILLE,162477.00,NASA
"UNIVERSITY OF CALIFORNIA, SANTA BARBARA",157952.00,NASA
UNIVERSITY OF WASHINGTON,189248.00,NASA
SPACE SCIENCE INSTITUTE,130000.00,NASA
UNIVERSITIES SPACE RESEARCH ASSOCIATION,241618.00,NASA
NORTHWESTERN UNIVERSITY,27131.00,NASA
"UNIVERSITY OF CALIFORNIA, LOS ANGELES",149632.00,NASA
BRANDEIS UNIVERSITY,300000.00,NSF
UNIVERSITY OF ILLINOIS,400000.00,NSF
