Country,Gold,Silver,Bronze
Norway,4,3,6
Netherlands,4,3,5
United States,4,2,6
Russia,2,5,4
Germany,7,2,1
Canada,4,4,2
Austria,1,4,0
Sweden,0,4,1
Switzerland,3,0,1
France,2,0,2
